                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.4543,                 1.1163,                  1.165,                 0.5151,                0.39827,                 0.4129,                0.24581,                  1.379,                 1.0564,                  1.137,               0.006469,               0.006469,               0.006469
                    110,                 1.4512,                  1.113,                 1.1669,                0.51769,                0.39905,                0.41305,                0.24541,                  1.378,                 1.0556,                 1.1366,               0.006436,               0.006436,               0.006436
                    111,                  1.451,                 1.1123,                 1.1638,                0.52045,                0.39692,                  0.413,                0.24588,                 1.3774,                 1.0547,                 1.1364,               0.006403,               0.006403,               0.006403
                    112,                 1.4543,                 1.1168,                  1.165,                0.52145,                0.39645,                 0.4127,                0.24559,                 1.3773,                  1.054,                 1.1363,                0.00637,                0.00637,                0.00637
                    113,                 1.4504,                 1.1037,                 1.1604,                0.52106,                0.39896,                0.41356,                0.24668,                 1.3767,                 1.0532,                  1.136,               0.006337,               0.006337,               0.006337
                    114,                 1.4449,                 1.1098,                 1.1633,                0.52162,                0.39709,                0.41302,                0.24619,                 1.3765,                 1.0529,                 1.1359,               0.006304,               0.006304,               0.006304
                    115,                 1.4477,                 1.1045,                 1.1631,                0.52454,                0.39717,                0.41318,                0.24615,                 1.3763,                 1.0527,                 1.1354,               0.006271,               0.006271,               0.006271
                    116,                 1.4546,                 1.1136,                 1.1614,                0.52201,                0.39924,                0.41362,                0.24671,                 1.3754,                 1.0513,                  1.135,               0.006238,               0.006238,               0.006238
                    117,                 1.4474,                 1.1051,                 1.1608,                0.52391,                 0.3996,                0.41476,                0.24722,                 1.3747,                 1.0503,                 1.1342,               0.006205,               0.006205,               0.006205
                    118,                 1.4478,                 1.1003,                 1.1628,                0.52566,                0.39906,                0.41499,                0.24713,                 1.3744,                 1.0498,                 1.1338,               0.006172,               0.006172,               0.006172
                    119,                 1.4424,                 1.1007,                 1.1566,                0.52415,                0.39907,                0.41505,                 0.2473,                 1.3743,                 1.0498,                 1.1335,               0.006139,               0.006139,               0.006139
                    120,                 1.4444,                 1.1043,                 1.1605,                0.52481,                0.39903,                0.41493,                0.24721,                 1.3743,                 1.0494,                 1.1335,               0.006106,               0.006106,               0.006106
                    121,                 1.4474,                 1.1021,                 1.1609,                0.52348,                0.39982,                0.41529,                0.24728,                 1.3744,                 1.0489,                 1.1334,               0.006073,               0.006073,               0.006073
                    122,                 1.4395,                 1.0963,                 1.1581,                 0.5237,                0.39925,                0.41535,                0.24728,                 1.3744,                 1.0485,                 1.1333,                0.00604,                0.00604,                0.00604
                    123,                 1.4471,                 1.1027,                 1.1561,                0.52376,                0.39982,                0.41542,                0.24734,                 1.3739,                  1.048,                 1.1332,               0.006007,               0.006007,               0.006007
                    124,                 1.4395,                 1.0928,                 1.1579,                0.52067,                0.40077,                0.41531,                0.24719,                 1.3734,                 1.0478,                 1.1329,               0.005974,               0.005974,               0.005974
                    125,                 1.4404,                 1.0936,                 1.1558,                0.52133,                0.40199,                0.41572,                0.24776,                 1.3733,                 1.0472,                 1.1331,               0.005941,               0.005941,               0.005941
                    126,                 1.4397,                 1.0951,                 1.1563,                0.52452,                0.40125,                0.41605,                0.24784,                 1.3731,                 1.0469,                  1.133,               0.005908,               0.005908,               0.005908
                    127,                 1.4373,                 1.0889,                 1.1542,                0.52112,                0.40289,                 0.4163,                0.24793,                 1.3726,                 1.0462,                 1.1328,               0.005875,               0.005875,               0.005875
                    128,                 1.4417,                 1.0918,                 1.1555,                0.52294,                0.40206,                0.41655,                0.24832,                 1.3726,                 1.0462,                 1.1327,               0.005842,               0.005842,               0.005842
